PMID,PMCID,DOI,Title,Authors,Year,Journal,Volume,Issue,Pages,Abstract
39052151,PMC11272816,10.1007/s11033-024-09732-x,The novel CFTR haplotype E583G/F508del in CFTR-related disorder.,"De Paolis E, Tilocca B, Inchingolo R, Lombardi C, Perrucci A, Maneri G, Roncada P, Varone F, Luca R, Urbani A, Minucci A, Santonocito C",2024,Mol Biol Rep,51,1,849,"BACKGROUND: CFTR-related disorder (CFTR-RD) is a clinical entity associated to complex diagnostic paths and newly upgraded standard of care. In CFTR-RD, CFTR genotyping represents a diagnostic surrogate marker. In case of novel haplotype, the diagnosis could represents an area of concern. We described the molecular evaluation of the rare CFTR variant E583G identified in trans with the F508del in a novel haplotype.
METHODS AND RESULTS: An adult woman was referred to our pulmonary unit for persistent respiratory symptoms. CFTR Next Generation Sequencing was performed to evaluate full-gene mutational status. The variant identified was evaluated for its pathogenicity integrating clinical evidences with dedicated bioinformatics analyses. Clinical evaluation of patient matched with a mono-organ CFTR-RD diagnosis. Genotyping revealed the novel CFTR haplotype F508del/E583G. Multiple evidences of a deleterious effect of the CFTR E583G rare variant emerged from the bioinformatics analyses performed.
CONCLUSIONS: Guidelines for CFTR-RD are available with the purpose of harmonizing clinical and molecular investigations. In such context, the identification of novel CFTR haplotype need to a deeper evaluation with a combination of skills. The novel E583G variant could be considered of clinical interest and overall a CFTR-RD Variants of Varying Clinical Consequences."
36764225,PMC9929201,10.1016/j.ijpddr.2023.01.004,Molecular characterization and analysis of drug resistance-associated protein enolase 2 of Eimeria tenella.,"Yu Y, Huang W, Wang Q, Dong H, Zhao Q, Zhu S, Huang B, Han H",2023,Int J Parasitol Drugs Drug Resist,21,,81-90,"Eimeria tenella, an intestinal parasite, has brought huge economic losses to the poultry industry. The prevalence and severity of the development of drug resistance has increased the challenge of coccidiosis control. We previously identified the enolase 2 of E. tenella (EtENO2) was differentially expressed in drug-sensitive (DS) and drug-resistant strains using RNA-seq. In this study, the expression of EtENO2 in diclazuril-resistant (DZR), maduramicin-resistant (MRR), and salinomycin-resistant (SMR) strains was analyzed by quantitative real-time PCR (qRT-PCR) and western blots. EtENO2 was highly expressed in several drug-resistant strains compared with the DS strain. The qRT-PCR showed that the transcription level of EtENO2 in the field-isolated resistant strains was upregulated compared with the DS strain. The enzyme activity results indicated that the catalytic activity of EtENO2 in the drug-resistant strains was higher than in the DS strain. In addition, qRT-PCR and western blots showed that the expression level of EtENO2 was higher in second generation merozoites (SM) and unsporulated oocysts (UO) than that in sporozoites (SZ) and sporulated oocysts (SO). Immunofluorescence localization revealed that EtENO2 was distributed throughout SZ and SM and on the surface of the parasites. After the SZ invasion DF-1 cells, it was also observed on the parasitophorous vacuole membrane. Our secretion experiments found that EtENO2 could be secreted outside the SZ. This study indicated that EtENO2 might be related to the interaction between E. tenella and host cells and be involved in the development of E. tenella resistance to some anticoccidial drugs."
36848199,PMC10068423,10.1093/jac/dkad050,Pharmacodynamic and immunological interactions of amphotericin B formulations and voriconazole with human neutrophils against mature Scedosporium apiospermum and Fusarium spp. biofilms.,"Vikelouda K, Simitsopoulou M, Antachopoulos C, Skoura L, Roilides E",2023,J Antimicrob Chemother,78,4,1076-1083,"BACKGROUND: Mould infections caused by Scedosporium apiospermum and Fusarium solani species complex (FSSC) biofilms are rising among immunocompromised and immunocompetent patients. Little is known about the immunomodulatory effects of antifungal agents against these moulds. We examined the effects of deoxycholate and liposomal amphotericin B (DAmB, LAmB) and voriconazole on antifungal activities and immune responses of neutrophils (PMNs) against mature biofilms compared with their planktonic counterparts.
METHODS: Antifungal activity of human PMNs exposed to mature biofilms and planktonic cells for 24 h was determined at effector-to-target ratios of 2:1 and 5:1, alone or combined with DAmB, LAmB and voriconazole, assessed as fungal damage by XTT assay. Cytokine production was evaluated by multiplex ELISA, following PMN stimulation with biofilms in the presence/absence of each drug.
RESULTS: All drugs showed additive or synergistic effects with PMNs against S. apiospermum at 0.03-32 mg/L. They showed antagonism primarily against FSSC at 0.06-64 mg/L. Increased IL-8 was produced by PMNs exposed to S. apiospermum biofilms plus DAmB or voriconazole compared with PMNs exposed to biofilms alone (P < 0.01). During combined exposure, IL-1β was increased, an effect only counteracted by increased levels of IL-10 caused by DAmB (P < 0.01). LAmB and voriconazole caused similar IL-10 levels with those released by biofilm-exposed PMNs.
CONCLUSIONS: The synergistic, additive or antagonistic effects of DAmB, LAmB or voriconazole on biofilm-exposed PMNs are organism-specific, with FSSC exhibiting greater resilience than S. apiospermum to antifungals. Biofilms of both moulds caused dampened immune responses. The drug-mediated immunomodulating effect on PMNs, evidenced by IL-1β, enhanced host protective functions."
40226393,PMC11918917,10.1155/2023/7452682,Solubilized Pancreatic Extracellular Matrix from Juvenile Pigs Protects Isolated Human Islets from Hypoxia-Induced Damage: A Viable Option for Clinical Islet Transplantation.,"Brandhorst H, Krishtul S, Brandhorst D, Baruch L, Machluf M, Johnson PRV",2023,J Tissue Eng Regen Med,2023,,7452682,"The pancreatic extracellular matrix (ECM) is an enormously complex construct. Previous studies underline the challenges to identify the optimal combinations and ratios of individual ECM proteins for promoting survival and function of isolated and transplanted islets. This study aimed on assessing the efficiency of solubilized natural ECM extracted from juvenile pigs, an unlimited donor source. Isolated human islets were cultured under a hypoxic atmosphere (2% oxygen) in media supplemented with either solubilized porcine pancreatic ECM (ppECM) or a mixture of human ECM proteins composed of collagen-IV, laminin-521, and nidogen-1 (hEPM). Control islets were cultured under identical conditions without ECM-compounds. Reactive oxygen species production increased three-fold in controls but was reduced by hEPM or ppECM. Early apoptosis remained on preculture levels when islets were treated with hEPM or ppECM. Preculture viability was preserved when hEPM or ppECM was administered. Whilst controls failed to respond to glucose challenge, treatment with hEPM or ppECM preserved the physiological insulin response. In summary, overall survival was significantly highest in ppECM-treated islets. This study presents a new approach to protect human islets from hypoxia-induced damage by supplementing media with ppECM extracted from an unlimited donor source. The findings may also serve as starting point for a novel encapsulation technique to protect isolated human islets."
36154925,PMC9901907,10.17305/bjbms.2022.8013,Amphiregulin/epidermal growth factor receptor/hypoxia-inducible factor-1α pathway regulates T helper 9 and T cytotoxic 9 cell response in adult patients with infectious mononucleosis.,"Li Y, Li L, Zhang W, Gao Y",2023,Biomol Biomed,23,1,63-72,"Amphiregulin (AREG)/epidermal growth factor receptor (EGFR) signaling induces hypoxia-inducible factor-1α (HIF-1α), leading to promotion of T helper 9 (Th9) differentiation and anti-tumor functions. However, the role of the AREG/EGFR/HIF-1α pathway in regulating interleukin-9 (IL-9) production by T cells in adult patients with infectious mononucleosis (IM) has not been fully elucidated. Fifty IM patients and 20 controls were enrolled. The percentages of Th9 and T cytotoxic 9 (Tc9) cells, the mRNA relative expressions of the transcription factors of IL-9-secreting T cells, purine-rich nucleic acid binding protein 1 (PU.1) and forkhead box protein O1 (FOXO1), and the levels of IL-9, AREG, EGFR, and HIF-1α were measured. Peripheral blood mononuclear cells from IM patients were stimulated with EGFR inhibitor or exogenous AREG in the presence or absence of anti-HIF-1α. Regulation of the AREG/EGFR/HIF-1α pathway to IL-9 production by T cells was assessed. The percentages of Th9 and Tc9 cells, plasma IL-9 levels, and PU.1 and FOXO1 mRNA expressions were elevated in IM patients. Plasma levels of AREG and HIF-1α were also increased in IM patients. AREG levels correlated positively with the percentages of Th9 and Tc9 cells in IM patients. Inhibition of EGFR suppressed IL-9-producing T cell differentiation and HIF-1α production. Exogenous AREG stimulation not only induced EGFR and HIF-1α expression but also promoted IL-9-secreting T cell differentiation. Neutralization of HIF-1α abrogated AREG/EGFR-induced Th9 and Tc9 differentiation in IM patients. The current data suggested that the AREG/EGFR/HIF-1α pathway contributed to the elevation of Th9 and Tc9 differentiation in IM patients."
38856898,PMC11225882,10.1007/978-1-0716-3818-7_7,Use of Surface Plasmon Resonance Technique for Studies of Inter-domain Interactions in Ion Channels.,"Tiwari PB, Kamgar-Dayhoff P, Tiwari P, McKillop MI, Brelidze TI",2024,Methods Mol Biol,2796,,105-118,"Ion channels are transmembrane proteins essential for cellular functions and are important drug targets. Surface plasmon resonance (SPR) is a powerful technique for investigating protein-protein and protein-small molecule ligand interactions. SPR has been underutilized for studies of ion channels, even though it could provide a wealth of information on the mechanisms of ion channel regulation and aid in ion channel drug discovery. Here we provide a detailed description of the use of SPR technology for investigating inter-domain interactions in KCNH potassium-selective and voltage-gated ion channels."
40079448,PMC11905337,10.1111/hel.70019,Flagellar Assembly Factor FliW2 De-Represses Helicobacter pylori FlaA-Mediated Motility by Allosteric Obstruction of Global Regulator CsrA.,"Su MS, Dickins B, Kiang FY, Tsai WJ, Chen YL, Chen JW, Wang S, Tsai PJ, Wu JJ",2025,Helicobacter,30,2,e70019,"BACKGROUND: Helicobacter pylori colonizes the human stomach as a dominant member of the gastric microbiota and constitutively expresses flagellar motility for survival. Carbon storage regulator A (CsrA) is a posttranscriptional global regulator and a critical determinant of H. pylori's motility and pathogenicity. The regulation of H. pylori CsrA is still uncertain although in other species CsrA is reported to be antagonized by small RNAs and proteins. In this study, we attempted to unveil how CsrA is regulated and hypothesized that H. pylori CsrA activity is antagonized by a flagellar assembly factor, FliW2, via protein allosteric obstruction.
MATERIALS AND METHODS: Multiple sequence comparisons indicated that, along its length and in contrast to fliW1, the fliW2 of H. pylori J99 is conserved. We then generated an isogenic ΔfliW2 strain whose function was characterized using phenotypic and biochemical approaches. We also applied a machine learning approach (AlphaFold2) to predict FliW2-CsrA binding domains and investigated the FliW2-CsrA interaction using pull-down assays and in vivo bacterial two-hybrid systems.
RESULTS: We observed the reduced expression of major flagellin FlaA and impaired flagellar filaments that attenuated the motility of the ΔfliW2 strain. Furthermore, a direct interaction between FliW2 and CsrA was demonstrated, and a novel region of the C-terminal extension of CsrA was suggested to be crucial for CsrA interacting with FliW2. Based on our AlphaFold2 prediction, this C-terminal region of FliW2-CsrA interaction does not overlap with CsrA's N-terminal RNA binding domain, implying that FliW2 allosterically antagonizes CsrA activity and restricts CsrA's binding to flaA mRNAs.
CONCLUSIONS: Our data points to novel regulatory roles that the H. pylori flagellar assembly factor FliW2 has in obstructing CsrA activity, and thus FliW2 may indirectly antagonize CsrA's regulation of flaA mRNA processing and translation. Our findings reveal a new regulatory mechanism of flagellar motility in H. pylori."
26627825,PMC4742742,10.1074/jbc.M115.678359,Extracellular Fibrinogen-binding Protein (Efb) from Staphylococcus aureus Inhibits the Formation of Platelet-Leukocyte Complexes.,"Posner MG, Upadhyay A, Abubaker AA, Fortunato TM, Vara D, Canobbio I, Bagby S, Pula G",2016,J Biol Chem,291,6,2764-76,"Extracellular fibrinogen-binding protein (Efb) from Staphylococcus aureus inhibits platelet activation, although its mechanism of action has not been established. In this study, we discovered that the N-terminal region of Efb (Efb-N) promotes platelet binding of fibrinogen and that Efb-N binding to platelets proceeds via two independent mechanisms: fibrinogen-mediated and fibrinogen-independent. By proteomic analysis of Efb-interacting proteins within platelets and confirmation by pulldown assays followed by immunoblotting, we identified P-selectin and multimerin-1 as novel Efb interaction partners. The interaction of both P-selectin and multimerin-1 with Efb is independent of fibrinogen. We focused on Efb interaction with P-selectin. Excess of P-selectin extracellular domain significantly impaired Efb binding by activated platelets, suggesting that P-selectin is the main receptor for Efb on the surface of activated platelets. Efb-N interaction with P-selectin inhibited P-selectin binding to its physiological ligand, P-selectin glycoprotein ligand-1 (PSGL-1), both in cell lysates and in cell-free assays. Because of the importance of P-selectin-PSGL-1 binding in the interaction between platelets and leukocytes, we tested human whole blood and found that Efb abolishes the formation of platelet-monocyte and platelet-granulocyte complexes. In summary, we present evidence that in addition to its documented antithrombotic activity, Efb can play an immunoregulatory role via inhibition of P-selectin-PSGL-1-dependent formation of platelet-leukocyte complexes."
26670735,PMC4737659,10.7554/eLife.09684,Mechanisms of ribosome stalling by SecM at multiple elongation steps.,"Zhang J, Pan X, Yan K, Sun S, Gao N, Sui SF",2015,Elife,4,,,"Regulation of translating ribosomes is a major component of gene expression control network. In Escherichia coli, ribosome stalling by the C-terminal arrest sequence of SecM regulates the SecA-dependent secretion pathway. Previous studies reported many residues of SecM peptide and ribosome exit tunnel are critical for stalling. However, the underlying molecular mechanism is still not clear at the atomic level. Here, we present two cryo-EM structures of the SecM-stalled ribosomes at 3.3-3.7 Å resolution, which reveal two different stalling mechanisms at distinct elongation steps of the translation cycle: one is due to the inactivation of ribosomal peptidyl-transferase center which inhibits peptide bond formation with the incoming prolyl-tRNA; the other is the prolonged residence of the peptidyl-RNA at the hybrid A/P site which inhibits the full-scale tRNA translocation. These results demonstrate an elegant control of translation cycle by regulatory peptides through a continuous, dynamic reshaping of the functional center of the ribosome."
20935677,PMC3020987,10.1038/onc.2010.458,A positive feedback loop of ER-α36/EGFR promotes malignant growth of ER-negative breast cancer cells.,"Zhang XT, Kang LG, Ding L, Vranic S, Gatalica Z, Wang ZY",2011,Oncogene,30,7,770-80,"It is prevailingly thought that estrogen signaling is not involved in development of estrogen receptor (ER)-negative breast cancer. However, there is evidence indicating that ovariectomy prevents the development of both ER-positive and -negative breast cancer, suggesting that estrogen signaling is involved in the development of ER-negative breast cancer. Previously, our laboratory cloned a variant of ER-α, ER-α36, and found that ER-α36 mediated nongenomic estrogen signaling and is highly expressed in ER-negative breast cancer cells. In this study, we found that ER-α36 was highly expressed in 10/12 cases of triple-negative breast cancer. We investigated the role of mitogenic estrogen signaling mediated by ER-α36 in malignant growth of triple-negative breast cancer MDA-MB-231 and MDA-MB-436 cells that express high levels of ER-α36 and found that these cells strongly responded to mitogenic estrogen signaling both in vitro and in vivo. Knockdown of ER-α36 expression in these cells using the small hairpin RNA method diminished their responsiveness to estrogen. ER-α36 physically interacted with the EGFR/Src/Shc complex and mediated estrogen-induced phosphorylation of epidermal growth factor receptor (EGFR) and Src. EGFR signaling activated ER-α36 transcription through an AP1 site in the ER-α36 promoter, and ER-α36 expression was able to stabilize EGFR protein. Our results, thus demonstrated that ER-α36 mediates nongenomic estrogen signaling through the EGFR/Src/ERK signaling pathway in ER-negative breast cancer cells and suggested that a subset of ER-negative breast tumors that expresses ER-α36, retains responsiveness to mitogenic estrogen signaling."
21118991,PMC3031469,10.1091/mbc.E10-05-0440,The EDD E3 ubiquitin ligase ubiquitinates and up-regulates beta-catenin.,"Hay-Koren A, Caspi M, Zilberberg A, Rosin-Arbesfeld R",2011,Mol Biol Cell,22,3,399-411,"Wnt/β-catenin signaling plays a central role in development and is also involved in a diverse array of diseases. β-Catenin activity is tightly regulated via a multiprotein complex that includes the kinase glycogen synthase kinase-3β (GSK-3β). GSK-3β phosphorylates β-catenin, marking it for ubiquitination and degradation via the proteasome. Thus in regulation of the Wnt pathway, the ubiquitin system is known to be involved mostly in mediating the turnover of β-catenin, resulting in reduced Wnt signaling levels. Here we report that an arm of the ubiquitin system increases β-catenin protein levels. We show that GSK-3β directly interacts with the E3 ubiquitin ligase identified by differential display (EDD) that also binds β-catenin. Expression of EDD leads to enhanced nuclear accumulation of both GSK-3β and β-catenin and results in up-regulation of β-catenin expression levels and activity. Importantly, EDD ubiquitinates β-catenin through Lys29- or Lys11-linked ubiquitin chains, leading to enhanced stability of β-catenin. Our results demonstrate a role for the ubiquitin system in up-regulation of the Wnt signaling pathway, suggesting that EDD could function as a colorectal oncogene."
21304926,PMC3032553,10.1371/journal.pbio.1000588,Structural basis for c-di-GMP-mediated inside-out signaling controlling periplasmic proteolysis.,"Navarro MV, Newell PD, Krasteva PV, Chatterjee D, Madden DR, O'Toole GA, Sondermann H",2011,PLoS Biol,9,2,e1000588,"The bacterial second messenger bis-(3'-5') cyclic dimeric guanosine monophosphate (c-di-GMP) has emerged as a central regulator for biofilm formation. Increased cellular c-di-GMP levels lead to stable cell attachment, which in Pseudomonas fluorescens requires the transmembrane receptor LapD. LapD exhibits a conserved and widely used modular architecture containing a HAMP domain and degenerate diguanylate cyclase and phosphodiesterase domains. c-di-GMP binding to the LapD degenerate phosphodiesterase domain is communicated via the HAMP relay to the periplasmic domain, triggering sequestration of the protease LapG, thus preventing cleavage of the surface adhesin LapA. Here, we elucidate the molecular mechanism of autoinhibition and activation of LapD based on structure-function analyses and crystal structures of the entire periplasmic domain and the intracellular signaling unit in two different states. In the absence of c-di-GMP, the intracellular module assumes an inactive conformation. Binding of c-di-GMP to the phosphodiesterase domain disrupts the inactive state, permitting the formation of a trans-subunit dimer interface between adjacent phosphodiesterase domains via interactions conserved in c-di-GMP-degrading enzymes. Efficient mechanical coupling of the conformational changes across the membrane is realized through an extensively domain-swapped, unique periplasmic fold. Our structural and functional analyses identified a conserved system for the regulation of periplasmic proteases in a wide variety of bacteria, including many free-living and pathogenic species."
21346797,PMC3035606,10.1371/journal.pbio.1000589,Structural basis of response regulator dephosphorylation by Rap phosphatases.,"Parashar V, Mirouze N, Dubnau DA, Neiditch MB",2011,PLoS Biol,9,2,e1000589,"Bacterial Rap family proteins have been most extensively studied in Bacillus subtilis, where they regulate activities including sporulation, genetic competence, antibiotic expression, and the movement of the ICEBs1 transposon. One subset of Rap proteins consists of phosphatases that control B. subtilis and B. anthracis sporulation by dephosphorylating the response regulator Spo0F. The mechanistic basis of Rap phosphatase activity was unknown. Here we present the RapH-Spo0F X-ray crystal structure, which shows that Rap proteins consist of a 3-helix bundle and a tetratricopeptide repeat domain. Extensive biochemical and genetic functional studies reveal the importance of the observed RapH-Spo0F interactions, including the catalytic role of a glutamine in the RapH 3-helix bundle that inserts into the Spo0F active site. We show that in addition to dephosphorylating Spo0F, RapH can antagonize sporulation by sterically blocking phosphoryl transfer to and from Spo0F. Our structure-function analysis of the RapH-Spo0F interaction identified Rap protein residues critical for Spo0F phosphatase activity. This information enabled us to assign Spo0F phosphatase activity to a Rap protein based on sequence alone, which was not previously possible. Finally, as the ultimate test of our newfound understanding of the structural requirements for Rap phosphatase function, a non-phosphatase Rap protein that inhibits the binding of the response regulator ComA to DNA was rationally engineered to dephosphorylate Spo0F. In addition to revealing the mechanistic basis of response regulator dephosphorylation by Rap proteins, our studies support the previously proposed T-loop-Y allostery model of receiver domain regulation that restricts the aromatic ""switch"" residue to an internal position when the β4-α4 loop adopts an active-site proximal conformation."
36942479,PMC10250212,10.1093/nar/gkad203,LINE-1 repression in Epstein-Barr virus-associated gastric cancer through viral-host genome interaction.,"Zhang M, Sun W, You X, Xu D, Wang L, Yang J, Li E, He S",2023,Nucleic Acids Res,51,10,4867-4880,"Long INterspersed Element 1 (LINE-1 or L1) acts as a major remodeling force in genome regulation and evolution. Accumulating evidence shows that virus infection impacts L1 expression, potentially impacting host antiviral response and diseases. The underlying regulation mechanism is unclear. Epstein-Barr virus (EBV), a double-stranded DNA virus linked to B-cell and epithelial malignancies, is known to have viral-host genome interaction, resulting in transcriptional rewiring in EBV-associated gastric cancer (EBVaGC). By analyzing publicly available datasets from the Gene Expression Omnibus (GEO), we found that EBVaGC has L1 transcriptional repression compared with EBV-negative gastric cancer (EBVnGC). More specifically, retrotransposition-associated young and full-length L1s (FL-L1s) were among the most repressed L1s. Epigenetic alterations, especially increased H3K9me3, were observed on FL-L1s. H3K9me3 deposition was potentially attributed to increased TASOR expression, a key component of the human silencing hub (HUSH) complex for H3K9 trimethylation. The 4C- and HiC-seq data indicated that the viral DNA interacted in the proximity of the TASOR enhancer, strengthening the loop formation between the TASOR enhancer and its promoter. These results indicated that EBV infection is associated with increased H3K9me3 deposition, leading to L1 repression. This study uncovers a regulation mechanism of L1 expression by chromatin topology remodeling associated with viral-host genome interaction in EBVaGC."
34031396,PMC8144423,10.1038/s41467-021-23308-4,MPP8 is essential for sustaining self-renewal of ground-state pluripotent stem cells.,"Müller I, Moroni AS, Shlyueva D, Sahadevan S, Schoof EM, Radzisheuskaya A, Højfeldt JW, Tatar T, Koche RP, Huang C, Helin K",2021,Nat Commun,12,1,3034,"Deciphering the mechanisms that control the pluripotent ground state is key for understanding embryonic development. Nonetheless, the epigenetic regulation of ground-state mouse embryonic stem cells (mESCs) is not fully understood. Here, we identify the epigenetic protein MPP8 as being essential for ground-state pluripotency. Its depletion leads to cell cycle arrest and spontaneous differentiation. MPP8 has been suggested to repress LINE1 elements by recruiting the human silencing hub (HUSH) complex to H3K9me3-rich regions. Unexpectedly, we find that LINE1 elements are efficiently repressed by MPP8 lacking the chromodomain, while the unannotated C-terminus is essential for its function. Moreover, we show that SETDB1 recruits MPP8 to its genomic target loci, whereas transcriptional repression of LINE1 elements is maintained without retaining H3K9me3 levels. Taken together, our findings demonstrate that MPP8 protects the DNA-hypomethylated pluripotent ground state through its association with the HUSH core complex, however, independently of detectable chromatin binding and maintenance of H3K9me3."
24184502,PMC3905164,10.1016/j.bcp.2013.10.021,Modulation of N-glycosylation by mesalamine facilitates membranous E-cadherin expression in colon epithelial cells.,"Khare V, Lang M, Dammann K, Campregher C, Lyakhovich A, Gasche C",2014,Biochem Pharmacol,87,2,312-20,"Genome wide association studies have implicated intestinal barrier function genes in the pathogenesis of ulcerative colitis. One of such loci CDH1, encoding E-cadherin, a transmembrane glycoprotein with known tumor suppressor functions, is also linked to the susceptibility to colorectal cancer. Loss of membranous E-cadherin expression is common in both colitis and cancer. We have recently demonstrated that mesalamine (5-ASA); the anti-inflammatory drug used to treat ulcerative colitis, induces membranous expression of E-cadherin and increases intercellular adhesion. Using colorectal cancer epithelial cells with aberrant E-cadherin expression, we investigated the mechanism underlying such an effect of 5-ASA. Post-translational modification of E-cadherin glycosylation was analyzed by biotin/streptavidin detection of sialylated glycoproteins. GnT-III (N-acetylglucosaminyltransferase III) expression was assessed by qRT-PCR, Western blot and immunofluorescence. GnT-III activity was analyzed by reactivity with E-4/L-4-PHA. Expression, localization and interaction of E-cadherin and β-catenin were analyzed by Western blot, immunocytochemistry and RNA interference. 5-ASA activity modulated E-cadherin glycosylation and increased both mRNA and protein levels of GnT-III and its activity as detected by increased E4-lectin reactivity. Intestinal APC(Min) polyps in mice showed low expression of GnT-III and 5-ASA was effective in increasing its expression. The data demonstrated that remodeling of glycans by GnT-III mediated bisect glycosylation, contributes to the membranous retention of E-cadherin by 5-ASA; facilitating intercellular adhesion. Induction of membranous expression of E-cadherin by 5-ASA is a novel mechanism for mucosal healing in colitis that might impede tumor progression by modulation of GnT-III expression."
24101588,PMC3874205,10.1093/nar/gkt898,Human LINE-1 restriction by APOBEC3C is deaminase independent and mediated by an ORF1p interaction that affects LINE reverse transcriptase activity.,"Horn AV, Klawitter S, Held U, Berger A, Vasudevan AA, Bock A, Hofmann H, Hanschmann KM, Trösemeier JH, Flory E, Jabulowsky RA, Han JS, Löwer J, Löwer R, Münk C, Schumann GG",2014,Nucleic Acids Res,42,1,396-416,"LINE-1 (L1) retrotransposons are mobile genetic elements whose extensive proliferation resulted in the generation of ≈ 34% of the human genome. They have been shown to be a cause of single-gene diseases. Moreover, L1-encoded endonuclease can elicit double-strand breaks that may lead to genomic instability. Mammalian cells adopted strategies restricting mobility and deleterious consequences of uncontrolled retrotransposition. The human APOBEC3 protein family of polynucleotide cytidine deaminases contributes to intracellular defense against retroelements. APOBEC3 members inhibit L1 retrotransposition by 35-99%. However, genomic L1 retrotransposition events that occurred in the presence of L1-restricting APOBEC3 proteins are devoid of detectable G-to-A hypermutations, suggesting one or multiple deaminase-independent L1 restricting mechanisms. We set out to uncover the mechanism of APOBEC3C (A3C)-mediated L1 inhibition and found that it is deaminase independent, requires an intact dimerization site and the RNA-binding pocket mutation R122A abolishes L1 restriction by A3C. Density gradient centrifugation of L1 ribonucleoprotein particles, subcellular co-localization of L1-ORF1p and A3C and co-immunoprecipitation experiments indicate that an RNA-dependent physical interaction between L1 ORF1p and A3C dimers is essential for L1 restriction. Furthermore, we demonstrate that the amount of L1 complementary DNA synthesized by L1 reverse transcriptase is reduced by ≈ 50% if overexpressed A3C is present."
35871298,PMC9410894,10.1093/nar/gkac628,The L1-ORF1p coiled coil enables formation of a tightly compacted nucleic acid-bound complex that is associated with retrotransposition.,"Cashen BA, Naufer MN, Morse M, Jones CE, Williams MC, Furano AV",2022,Nucleic Acids Res,50,15,8690-8699,"Long interspersed nuclear element 1 (L1) parasitized most vertebrates and constitutes ∼20% of the human genome. It encodes ORF1p and ORF2p which form an L1-ribonucleoprotein (RNP) with their encoding transcript that is copied into genomic DNA (retrotransposition). ORF1p binds single-stranded nucleic acid (ssNA) and exhibits NA chaperone activity. All vertebrate ORF1ps contain a coiled coil (CC) domain and we previously showed that a CC-retrotransposition null mutant prevented formation of stably bound ORF1p complexes on ssNA. Here, we compared CC variants using our recently improved method that measures ORF1p binding to ssDNA at different forces. Bound proteins decrease ssDNA contour length and at low force, retrotransposition-competent ORF1ps (111p and m14p) exhibit two shortening phases: the first is rapid, coincident with ORF1p binding; the second is slower, consistent with formation of tightly compacted complexes by NA-bound ORF1p. In contrast, two retrotransposition-null CC variants (151p and m15p) did not attain the second tightly compacted state. The C-terminal half of the ORF1p trimer (not the CC) contains the residues that mediate NA-binding. Our demonstrating that the CC governs the ability of NA-bound retrotransposition-competent trimers to form tightly compacted complexes reveals the biochemical phenotype of these coiled coil mutants."
19609305,PMC2712596,10.1038/emboj.2009.190,Numb regulates cell-cell adhesion and polarity in response to tyrosine kinase signalling.,"Wang Z, Sandiford S, Wu C, Li SS",2009,EMBO J,28,16,2360-73,"Epithelial-mesenchymal transition (EMT), which can be caused by aberrant tyrosine kinase signalling, marks epithelial tumour progression and metastasis, yet the underlying molecular mechanism is not fully understood. Here, we report that Numb interacts with E-cadherin (E-cad) through its phosphotyrosine-binding domain (PTB) and thereby regulates the localization of E-cad to the lateral domain of epithelial cell-cell junction. Moreover, Numb engages the polarity complex Par3-aPKC-Par6 by binding to Par3 in polarized Madin-Darby canine kidney cells. Intriguingly, after Src activation or hepatocyte growth factor (HGF) treatment, Numb decouples from E-cad and Par3 and associates preferably with aPKC-Par6. Binding of Numb to aPKC is necessary for sequestering the latter in the cytosol during HGF-induced EMT. Knockdown of Numb by small hairpin RNA caused a basolateral-to-apicolateral translocation of E-cad and beta-catenin accompanied by elevated actin polymerization, accumulation of Par3 and aPKC in the nucleus, an enhanced sensitivity to HGF-induced cell scattering, a decrease in cell-cell adhesion, and an increase in cell migration. Our work identifies Numb as an important regulator of epithelial polarity and cell-cell adhesion and a sensor of HGF signalling or Src activity during EMT."
19800021,PMC2827769,10.1016/j.biocel.2009.09.018,Requirement for nuclear factor kappa B signalling in the interleukin-1-induced expression of the CCAAT/enhancer binding protein-delta gene in hepatocytes.,"Ali S, Singh NN, Yildirim H, Ramji DP",2010,Int J Biochem Cell Biol,42,1,113-9,"Elevated circulating levels of acute phase proteins (APP) are associated with inflammation and inflammatory disorders such as cardiovascular disease. APP are mainly synthesised by hepatocytes and their transcription is induced by pro-inflammatory cytokines such as interleukin-1 (IL-1). The molecular mechanisms underlying the IL-1-induced expression of key transcription factors implicated in the regulation of APP are poorly understood. We have investigated this aspect using the CCAAT/enhancer binding protein-delta (C/EBPdelta) as a model gene. IL-1 induced the expression of C/EBPdelta mRNA and protein in the human hepatoma Hep3B cell line, a widely employed model system for studies on cytokine signalling in relation to the expression of APP. The IL-1-mediated induction of C/EBPdelta expression was attenuated in the presence of pharmacological inhibitors against c-Jun N-terminal kinase (JNK) (curcumin and SP600125), casein kinase 2 (CK2) (apigenin) and nuclear factor-kappaB (NF-kappaB) (NF-kappaB activation inhibitor). RNA interference assays showed significant attenuation of the IL-1-induced expression of C/EBPdelta following knockdown of the p50 and p65 subunits of NF-kappaB. IL-1 induced NF-kappaB DNA binding and activation by this transcription factor and this was attenuated by curcumin and apigenin. Taken together, these results suggest a potentially crucial role for NF-kappaB in the IL-1-induced expression of C/EBPdelta, and thereby downstream APP genes regulated by this transcription factor."
